Males	Females	Area
170319	143765	Andamans
22653	19415	Nicobars
1250958	1237045	Adilabad
1162905	1182780	Nizamabad
1747968	1743854	Karimnagar
1352446	1317651	Medak
1981173	1848580	Hyderabad
1839227	1735837	Rangareddi
1782340	1731594	Mahbubnagar
1651990	1595992	Nalgonda
1644895	1601109	Warangal
1305543	1273384	Khammam
1260020	1277573	Srikakulam
1119541	1129713	Vizianagaram
1930197	1902139	Visakhapatnam
1910038	1893479	West
2117401	2070440	Krishna
2250279	2214865	Guntur
1552332	1507091	Prakasam
1344935	1323629	Nellore
1318093	1283704	Cuddapah
1796214	1733280	Kurnool
1859588	1780890	Anantapur
1889690	1856185	Chittoor
21846	17078	Tawang
42542	32057	West
28802	28377	East
64184	57819	Papum
49542	48702	Lower
28240	27106	Upper
54349	49569	West
45265	42132	East
18057	15306	Upper
31442	26278	Dibang
77314	66213	Lohit
65821	59601	Changlang
52537	47789	Tirap
466191	439573	Kokrajhar
841044	796300	Dhubri
420251	401784	Goalpara
465240	439595	Bongaigaon
848578	798623	Barpeta
1326981	1195343	Kamrup
592375	556449	Nalbari
773861	730459	Darrang
398926	377330	Marigaon
1190950	1123679	Nagaon
871568	809945	Sonitpur
455691	433319	Lakhimpur
294643	277301	Dhemaji
601099	548963	Tinsukia
613555	571517	Dibrugarh
545476	506260	Sibsagar
517015	482206	Jorhat
490286	455993	Golaghat
422250	391061	Karbi
99822	88257	North
743042	701879	Cachar
517680	490296	Karimganj
280513	262359	Hailakandi
1600839	1442627	Pashchim
2077047	1862726	Purba
273680	242281	Sheohar
1417611	1265109	Sitamarhi
1840997	1734284	Madhubani
902207	830371	Supaul
1128105	1030503	Araria
669552	626796	Kishanganj
1328417	1215525	Purnia
1246872	1145766	Katihar
797180	729466	Madhepura
789432	718750	Saharsa
1722189	1573600	Darbhanga
1951466	1795248	Muzaffarpur
1075710	1076928	Gopalganj
1336283	1378066	Siwan
1652661	1596040	Saran
1415603	1302818	Vaishali
1760692	1634101	Samastipur
1228874	1120492	Begusarai
679267	601087	Khagaria
1291658	1131514	Bhagalpur
843293	765480	Banka
607730	530067	Munger
417672	384553	Lakhisarai
273992	251510	Sheikhpura
1238599	1131929	Nalanda
2519942	2198650	Patna
1179611	1063533	Bhojpur
738354	664042	Buxar
677623	611451	Kaimur
1283485	1167263	Rohtas
784946	729369	Jehanabad
1040945	972110	Aurangabad
1792163	1681265	Gaya
929960	879736	Nawada
729138	669658	Jamui
301251	285076	Koriya
1000050	972044	Surguja
371697	371463	Jashpur
634597	630932	Raigarh
515147	496676	Korba
659388	658043	Janjgir
1013875	984480	Bilaspur
291963	292589	Kawardha
634342	648882	Rajnandgaon
1417893	1392543	Durg
1523925	1493005	Raipur
426201	434056	Mahasamund
352524	354067	Dhamtari
324636	326298	Kanker
649801	656872	Bastar
356928	362559	Dantewada*
506938	393697	Chandigarh
20878	23337	Diu
71634	42355	Daman
1571689	1289180	North
427882	353643	North
956078	811983	North
794074	669509	East
99956	79156	New
350831	295554	Central
1163084	965824	West
983615	771426	South
1260025	1006998	South
121666	98824	Dadra
388502	370071	North
298746	290349	South
815152	768073	Kachchh
1297404	1206840	Banas
612100	570609	Patan
953842	884050	Mahesana
1069554	1012977	Sabar
697999	636456	Gandhinagar
3074556	2741963	Ahmadabad
787650	727498	Surendranagar
1642018	1527863	Rajkot
981320	922958	Jamnagar
275821	261014	Porbandar
1252350	1195823	Junagadh
701593	692325	Amreli
1274920	1194710	Bhavnagar
972000	884872	Anand
1052823	971393	Kheda
1044937	980340	Panch
824208	812225	Dohad
1897368	1744434	Vadodara
263986	250418	Narmada
713676	656980	Bharuch
2722539	2272635	Surat
93974	92755	The
628988	600475	Navsari
734799	675754	Valsad
256939	211472	Panchkula
542977	471434	Ambala
559444	482186	Yamunanagar
442328	383126	Kurukshetra
510513	435618	Kaithal
683368	590815	Karnal
528860	438589	Panipat
695723	583452	Sonipat
642282	547545	Jind
427862	378296	Fatehabad
593245	523404	Sirsa
830520	706597	Hisar
758253	666769	Bhiwani
509038	431090	Rohtak
476475	403597	Jhajjar
423578	388943	Mahendragarh
403034	362317	Rewari
886451	773838	Gurgaon
1193063	1001523	Faridabad
235218	225669	Chamba
661254	677776	Kangra
18441	14783	Lahul
198016	183555	Kullu
447872	453472	Mandi
196593	216107	Hamirpur
224524	223749	Una
171263	169622	Bilaspur
270291	230266	Solan
241299	217294	Sirmaur
380996	341506	Shimla
42173	36161	Kinnaur
535332	500132	Garhwa
1084417	1013942	Palamu
404067	387367	Chatra
1167793	1109682	Hazaribagh
249549	249854	Kodarma
960679	943751	Giridih
608878	556512	Deoghar
544043	503896	Godda
477662	450108	Sahibganj
358545	343119	Pakaur
897364	862238	Dumka
1278946	1118156	Dhanbad
938436	839226	Bokaro
1436976	1348088	Ranchi
184507	180014	Lohardaga
675769	670998	Gumla
1054641	1028154	Pashchimi
1027433	955555	Purbi
341303	309090	Kupwara
614816	554964	Baramula
649491	552956	Srinagar
326050	303259	Badgam
335544	317063	Pulwama
610007	562427	Anantnag
64306	52926	Leh
64955	54352	Kargil
363526	328403	Doda
399686	343823	Udhampur
194213	178400	Punch
257336	225948	Rajauri
850302	738470	Jammu
289391	260693	Kathua
2150090	2064415	Belgaum
834247	817645	Bagalkot
926424	880494	Bijapur
1592789	1538133	Gulbarga
771022	731351	Bidar
841840	827922	Raichur
603312	592777	Koppal
493533	478302	Gadag
823204	781049	Dharwad
686876	666768	Uttara
740469	698647	Haveri
1029714	997426	Bellary
776221	741675	Chitradurga
917705	873247	Davanagere
830559	811986	Shimoga
522231	590012	Udupi
574911	565994	Chikmagalur
1313801	1270910	Tumkur
1286193	1249876	Kolar
3426599	3110525	Bangalore
962183	919331	Bangalore
888034	875671	Mandya
859086	862583	Hassan
938434	959296	Dakshina
274831	273730	Kodagu
1344670	1296357	Mysore
489940	475522	Chamarajanagar
588083	615995	Kasaragod
1152817	1256139	Kannur
391273	389346	Wayanad
1399358	1479773	Kozhikode
1754576	1870895	Malappuram
1266985	1350497	Palakkad
1422052	1552180	Thrissur
1538397	1567401	Ernakulam
566682	562539	Idukki
964926	988720	Kottayam
1014529	1094631	Alappuzha
589398	644618	Pathanamthitta
1249621	1335587	Kollam
1569917	1664439	Thiruvananthapuram
31131	29519	Lakshadweep
663511	648198	Nandurbar
878372	829575	Dhule
1905493	1777197	Jalgaon
1147403	1085077	Buldana
841253	788986	Akola
526094	494122	Washim
1345614	1261546	Amravati
638990	597746	Wardha
2105314	1962323	Nagpur
573445	562701	Bhandara
598834	601873	Gondiya
491101	479193	Gadchiroli
1062993	1008108	Chandrapur
1265681	1192590	Yavatmal
1481358	1394901	Nanded
505373	481787	Hingoli
780191	747524	Parbhani
826903	786077	Jalna
1505363	1391650	Aurangabad
2590912	2402884	Nashik
4377747	3754102	Thane
4741720	3898699	Mumbai
1878246	1459785	Mumbai
1117628	1090301	Raigarh
3769128	3463427	Pune
2083053	1957589	Ahmadnagar
1116356	1044894	Bid
1075257	1005028	Latur
769368	717218	Osmanabad
1989623	1859920	Solapur
1408326	1400668	Satara
794498	902279	Ratnagiri
417890	450935	Sindhudurg
1807470	1715692	Kolhapur
1320088	1263436	Sangli
58014	53485	Tamenglong
117232	110673	Churachandpur
104550	103818	Bishnupur
182250	181890	Thoubal
221781	222601	Imphal
198371	196505	Imphal
73465	67313	Ukhrul
59741	58586	Chandel
263424	254966	West
127474	123108	East
52007	48973	South
150419	145630	West
99319	93471	Ri
333553	327370	East
